Wilayah Inflasi,,,,,,,,,,,,,,,,,,
,Kemiskinan,,,,,,,,,,,,,,,,,
,Garis Kemiskinan (Rp/Kapita/Bulan),,,Jumlah Penduduk Miskin (Ribu Orang),,,Persentase Penduduk Miskin (p0),,,Indeks Kedalaman Kemiskinan (p1),,,Indeks Keparahan Kemiskinan (p2),,,Gini Rasio,,
,2002,2003,2004,2002,2003,2004,2002,2003,2004,2002,2003,2004,2002,2003,2004,2002,2003,2004
Kota Tegal,115809,137953,167621,31.7,23.1,23.1,13.3,9.53,9.49,1.79,1.47,1.24,0.34,0.3,0.24,-,-,-
Jawa Tengah,106438,119403,126651,7308.3,6979.7,6843.8,23.06,21.78,21.11,4,3.93,3.58,1.05,1.07,0.96,-,-,-
