Wilayah Inflasi,,,,,,,,,,,,,,,,,,
,Kemiskinan,,,,,,,,,,,,,,,,,
,Garis Kemiskinan (Rp/Kapita/Bulan),,,Jumlah Penduduk Miskin (Ribu Orang),,,Persentase Penduduk Miskin (p0),,,Indeks Kedalaman Kemiskinan (p1),,,Indeks Keparahan Kemiskinan (p2),,,Gini Rasio,,
,2008,2009,2010,2008,2009,2010,2008,2009,2010,2008,2009,2010,2008,2009,2010,2008,2009,2010
Kota Tegal,244380,248173,270788,26.79,23.43,25.7,11.28,17.48,10.62,1.42,1.64,1.72,0.21,0.42,0.44,0.28,0.24,0.24
Jawa Tengah,181877,201651,217327,6122.55,5655.41,5217.2,18.99,19.88,16.11,4.25,2.89,2.62,1.24,0.87,0.68,0.3,0.32,0.34
