Wilayah Inflasi,,,,,,,,,,,,,,,,,,
,Kemiskinan,,,,,,,,,,,,,,,,,
,Garis Kemiskinan (Rp/Kapita/Bulan),,,Jumlah Penduduk Miskin (Ribu Orang),,,Persentase Penduduk Miskin (p0),,,Indeks Kedalaman Kemiskinan (p1),,,Indeks Keparahan Kemiskinan (p2),,,Gini Rasio,,
,2015,2016,2017,2015,2016,2017,2015,2016,2017,2015,2016,2017,2015,2016,2017,2015,2016,2017
Kota Tegal,371528,395631,418845,20.31,20.26,20.11,8.26,8.2,8.11,1.34,1.04,1.42,0.35,0.21,0.38,-,-,-
Jawa Tengah,297851,317348,333224,4577.04,4506.89,4450.72,13.58,13.27,13.01,2.44,2.37,2.21,0.65,0.63,0.57,-,-,-
