Wilayah Inflasi,,,,,,,,,,,,,,,,,,
,Kemiskinan,,,,,,,,,,,,,,,,,
,Garis Kemiskinan (Rp/Kapita/Bulan),,,Jumlah Penduduk Miskin (Ribu Orang),,,Persentase Penduduk Miskin (p0),,,Indeks Kedalaman Kemiskinan (p1),,,Indeks Keparahan Kemiskinan (p2),,,Gini Rasio,,
,2005,2006,2007,2005,2006,2007,2005,2006,2007,2005,2006,2007,2005,2006,2007,2005,2006,2007
Kota Tegal,171462,184872,197683,21.7,24.7,22.2,8.96,10.4,9.36,-,1.5,1.06,-,0.36,0.19,0.23,0.24,0.23
Jawa Tengah,130013,142337,154111,6533.5,7100.6,6557,20.49,22.19,20.43,-,3.69,3.84,-,0.94,1.08,0.28,0.27,0.25
